setname	parent	year	source_file
fruitpc	0	2006	src/mame/pc/fruitpc.cpp
champ	0	1993	src/mame/pc/champ2.cpp
champ2	0	1994	src/mame/pc/champ2.cpp
agro	0	1997	src/mame/pc/agro.cpp
tetriskr	0	1988?	src/mame/pc/tetriskr.cpp
toursol	0	1995	src/mame/pc/pcat_dyn.cpp
toursol1	toursol	1995	src/mame/pc/pcat_dyn.cpp
przonegd	0	1997	src/mame/pc/przone.cpp
pulltrig	0	2003	src/mame/pc/pulltrig.cpp
filetto	0	1990	src/mame/pc/filetto.cpp
play4texash	0	2011	src/mame/pc/play4texash.cpp
gamecstl	0	2002	src/mame/pc/sis630.cpp
gamecst2	gamecstl	2002	src/mame/pc/sis630.cpp
onlinertp	0	200?	src/mame/pc/conliner.cpp
sshuffle	0	2011	src/mame/pc/sshuffle.cpp
dawg	0	2009	src/mame/pc/dawg.cpp
streetg	0	1993	src/mame/pc/pcat_nit.cpp
streetgr3	streetg	1993	src/mame/pc/pcat_nit.cpp
streetg2	0	1993	src/mame/pc/pcat_nit.cpp
streetg2r5	streetg2	1993	src/mame/pc/pcat_nit.cpp
bonanza	0	1994	src/mame/pc/pcat_nit.cpp
bonanzar2	bonanza	1994	src/mame/pc/pcat_nit.cpp
quake	0	1998	src/mame/pc/quakeat.cpp
mdartstr	0	2001	src/mame/pc/mdartstr.cpp
pangofun	0	1995	src/mame/pc/pangofun.cpp
queen	0	2002?	src/mame/pc/queen.cpp
seawolfnm	0	2008	src/mame/pc/seawolfnm.cpp
gogostrk	0	2007?	src/mame/pc/paokaipc.cpp
kuzmich	0	199?	src/mame/apple/superga2.cpp
renegade	0	1986	src/mame/technos/renegade.cpp
renegadeb	renegade	1986	src/mame/technos/renegade.cpp
kuniokun	renegade	1986	src/mame/technos/renegade.cpp
kuniokunb	renegade	1986	src/mame/technos/renegade.cpp
mystston	0	1984	src/mame/technos/mystston.cpp
myststono	mystston	1984	src/mame/technos/mystston.cpp
myststonoi	mystston	1984	src/mame/technos/mystston.cpp
ddragonm	ddragon	1987	src/mame/technos/ddragon_ms.cpp
matmania	0	1985	src/mame/technos/matmania.cpp
excthour	matmania	1985	src/mame/technos/matmania.cpp
maniach	0	1986	src/mame/technos/matmania.cpp
maniach2	maniach	1986	src/mame/technos/matmania.cpp
ssozumo	0	1984	src/mame/technos/ssozumo.cpp
spdodgeb	0	1987	src/mame/technos/spdodgeb.cpp
nkdodge	spdodgeb	1987	src/mame/technos/spdodgeb.cpp
nkdodgeb	spdodgeb	1987	src/mame/technos/spdodgeb.cpp
xsleena	0	1986	src/mame/technos/xain.cpp
xsleenaj	xsleena	1986	src/mame/technos/xain.cpp
solrwarr	xsleena	1986	src/mame/technos/xain.cpp
xsleenab	xsleena	1986	src/mame/technos/xain.cpp
xsleenaba	xsleena	1987	src/mame/technos/xain.cpp
xsleenabb	xsleena	1987	src/mame/technos/xain.cpp
vball	0	1988	src/mame/technos/vball.cpp
vball2pj	vball	1988	src/mame/technos/vball.cpp
vballb	vball	1988	src/mame/technos/vball.cpp
vball2pjb	vball	1988	src/mame/technos/vball.cpp
shadfrce	0	1993	src/mame/technos/shadfrce.cpp
shadfrceu	shadfrce	1993	src/mame/technos/shadfrce.cpp
shadfrcej	shadfrce	1993	src/mame/technos/shadfrce.cpp
ddragon3	0	1990	src/mame/technos/ddragon3.cpp
ddragon3j	ddragon3	1990	src/mame/technos/ddragon3.cpp
ddragon3p	ddragon3	1990	src/mame/technos/ddragon3.cpp
ddragon3b	ddragon3	1990	src/mame/technos/ddragon3.cpp
ctribe	0	1990	src/mame/technos/ddragon3.cpp
ctribeua	ctribe	1990	src/mame/technos/ddragon3.cpp
ctribeu1	ctribe	1990	src/mame/technos/ddragon3.cpp
ctribej	ctribe	1990	src/mame/technos/ddragon3.cpp
ctribeb	ctribe	1990	src/mame/technos/ddragon3.cpp
ctribeb2	ctribe	1990	src/mame/technos/ddragon3.cpp
wwfwfest	0	1991	src/mame/technos/ddragon3.cpp
wwfwfestu	wwfwfest	1991	src/mame/technos/ddragon3.cpp
