repo	mra_file	name	setname	parent	mameversion	rbf	year	manufacturer
Arcade-ATetris_MiSTer	Tetris.mra	Tetris	atetris	atetris	0220	ataritetris	1988	Atari
Arcade-ActFancer_MiSTer	Act-Fancer (Japan rev 1).mra	Act-Fancer Cybernetick Hyper Weapon (Japan rev 1)	actfancrj		0264	ActFancer	1989	Data East Corporation
Arcade-ActFancer_MiSTer	Act-Fancer (World rev 1).mra	Act-Fancer Cybernetick Hyper Weapon (World rev 1)	actfancr1		0264	ActFancer	1989	Data East Corporation
Arcade-ActFancer_MiSTer	Act-Fancer (World rev 2).mra	Act-Fancer Cybernetick Hyper Weapon (World rev 2)	actfancr2		0264	ActFancer	1989	Data East Corporation
Arcade-ActFancer_MiSTer	Act-Fancer Cybernetick Hyper Weapon (World revision 3).mra	Act-Fancer Cybernetick Hyper Weapon (World rev 3)	actfancr		0264	ActFancer	1989	Data East Corporation
Arcade-Arkanoid_MISTer	Arkanoid (W).mra	Arkanoid	arkanoid	arkanoid	0220	arkanoid	1986	Taito
Arcade-AsteroidsDeluxe_MiSTer	Asteroids Deluxe.mra	Asteroids Deluxe (rev 3)	astdelux		0216	asteroidsdeluxe	1980	Atari
Arcade-Asteroids_MiSTer	Asteroids.mra	Asteroids (Rev 4)	asteroid	asteroid	0287	Asteroids	1979	Atari
Arcade-Asteroids_MiSTer	Asteroids Deluxe (v3 green).mra	Asteroids Deluxe (Rev 3)	astdelux	astdelux	0287	Asteroids	1980	Atari
Arcade-Asteroids_MiSTer	Asteroids Deluxe (v3 orange).mra	Asteroids Deluxe (Rev 3)	astdelux	astdelux	0287	Asteroids	1980	Atari
Arcade-Asteroids_MiSTer	Lunar Lander.mra	Lunar Lander (Rev 2)	llander	llander	0287	Asteroids	1979	Atari
Arcade-Asteroids_old_MiSTer	Asteroids.mra	Asteroids (rev 4)	asteroid		0220	asteroids	1979	Atari
Arcade-Astrocade_MiSTer	Extra Bases.mra	Extra Bases	ebases	ebases	0219	astrocade	1980	Dave Nutting Associates
Arcade-Astrocade_MiSTer	Gorf.mra	Gorf	gorf	gorf	0219	astrocade	1981	Dave Nutting Associates
Arcade-Astrocade_MiSTer	Sea Wolf II.mra	Sea Wolf II	seawolf2	seawolf3	0219	astrocade	1978	Dave Nutting Associates
Arcade-Astrocade_MiSTer	Space Zap.mra	Space Zap	spacezap	spacezap	0219	astrocade	1980	Midway
Arcade-Astrocade_MiSTer	The Adventures of Robby Roto!.mra	The Adventures of Robby Roto!	robby	robby	0219	astrocade	1981	Dave Nutting Associates
Arcade-Astrocade_MiSTer	Wizard of Wor.mra	Wizard of Wor	wow	wow	0219	astrocade	1980	Dave Nutting Associate
Arcade-Atari-system1_MiSTer	Indiana Jones (cocktail).mra	Indiana Jones (cocktail)	indytempc		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Indiana Jones (german).mra	Indiana Jones (german)	indytempd		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Indiana Jones (set 1).mra	Indiana Jones (set 1)	indytemp		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Indiana Jones (set 2).mra	Indiana Jones (set 2)	indytemp2		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Indiana Jones (set 3).mra	Indiana Jones (set 3)	indytemp3		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Indiana Jones (set 4).mra	Indiana Jones (set 4)	indytemp4		0254	atarisys1	1985	Atari Games
Arcade-Atari-system1_MiSTer	Marble Madness (set 1).mra	Marble Madness (set 1)	marble		0254	atarisys1	1984	Atari Games
Arcade-Atari-system1_MiSTer	Marble Madness (set 2).mra	Marble Madness (set 2)	marble2		0254	atarisys1	1984	Atari Games
