repo	set_count	rbf_values	top_manufacturer	year_range	url
Arcade-ATetris_MiSTer	1	ataritetris	Atari	1988-1988	https://github.com/MiSTer-devel/Arcade-ATetris_MiSTer
Arcade-ActFancer_MiSTer	4	ActFancer	Data East Corporation	1989-1989	https://github.com/MiSTer-devel/Arcade-ActFancer_MiSTer
Arcade-Arkanoid_MISTer	1	arkanoid	Taito	1986-1986	https://github.com/MiSTer-devel/Arcade-Arkanoid_MISTer
Arcade-AsteroidsDeluxe_MiSTer	1	asteroidsdeluxe	Atari	1980-1980	https://github.com/MiSTer-devel/Arcade-AsteroidsDeluxe_MiSTer
Arcade-Asteroids_MiSTer	4	Asteroids	Atari	1979-1980	https://github.com/MiSTer-devel/Arcade-Asteroids_MiSTer
Arcade-Asteroids_old_MiSTer	1	asteroids	Atari	1979-1979	https://github.com/MiSTer-devel/Arcade-Asteroids_old_MiSTer
Arcade-Astrocade_MiSTer	6	astrocade	Dave Nutting Associates	1978-1981	https://github.com/MiSTer-devel/Arcade-Astrocade_MiSTer
Arcade-Atari-system1_MiSTer	26	atarisys1	Atari Games	1984-1987	https://github.com/MiSTer-devel/Arcade-Atari-system1_MiSTer
Arcade-Athena_MiSTer	6	Athena	SNK	1986-1988	https://github.com/MiSTer-devel/Arcade-Athena_MiSTer
Arcade-Bagman_MiSTer	5	bagman	Valadon Automation	1982-1984	https://github.com/MiSTer-devel/Arcade-Bagman_MiSTer
Arcade-BankPanic_MiSTer	2	bankpanic	Sanritsu/Sega	1984-1987	https://github.com/MiSTer-devel/Arcade-BankPanic_MiSTer
Arcade-BattleZone_MiSTer	3	BattleZone	Atari	1980-1980	https://github.com/MiSTer-devel/Arcade-BattleZone_MiSTer
Arcade-Berzerk_MiSTer	1	berzerk	Stern	1980-1980	https://github.com/MiSTer-devel/Arcade-Berzerk_MiSTer
Arcade-BlackWidow_MiSTer	3	blackwidow	Atari	1982-1982	https://github.com/MiSTer-devel/Arcade-BlackWidow_MiSTer
Arcade-Blockade_MiSTer	4	blockade	Gremlin	1976-1978	https://github.com/MiSTer-devel/Arcade-Blockade_MiSTer
Arcade-BloodBros_MiSTer	5	BloodBros	TAD Corporation	1990-1990	https://github.com/MiSTer-devel/Arcade-BloodBros_MiSTer
Arcade-BluePrint_MiSTer	4	BluePrint	Zilec Electronics / Bally Midway	1982-1983	https://github.com/MiSTer-devel/Arcade-BluePrint_MiSTer
Arcade-BombJack_MiSTer	1	bombjack	Tehkan	1984-1984	https://github.com/MiSTer-devel/Arcade-BombJack_MiSTer
Arcade-BoogieWings_MiSTer	5	BoogieWings	Data East Corporation	1992-1992	https://github.com/MiSTer-devel/Arcade-BoogieWings_MiSTer
Arcade-Bosconian_MiSTer	1	bosconian	Namco	1981-1981	https://github.com/MiSTer-devel/Arcade-Bosconian_MiSTer
Arcade-Breakout_MiSTer	1	breakout	Atari	1976-1976	https://github.com/MiSTer-devel/Arcade-Breakout_MiSTer
Arcade-BubSysROM_MiSTer	3	BubSysROM	Konami	1985-1985	https://github.com/MiSTer-devel/Arcade-BubSysROM_MiSTer
Arcade-BubSys_MiSTer	1	BubSys	Konami	1985-1985	https://github.com/MiSTer-devel/Arcade-BubSys_MiSTer
Arcade-BurgerTime_MiSTer	1	burgertime	Data East	1982-1982	https://github.com/MiSTer-devel/Arcade-BurgerTime_MiSTer
Arcade-BurningRubber_MiSTer	1	burningrubber	Data East	1982-1982	https://github.com/MiSTer-devel/Arcade-BurningRubber_MiSTer
Arcade-CanyonBomber_MiSTer	1	canyonbomber	Atari	1977-1977	https://github.com/MiSTer-devel/Arcade-CanyonBomber_MiSTer
Arcade-CaveBanpresto_MiSTer	18	CaveBanpresto	Gazelle (Banpresto license)	1994-1996	https://github.com/MiSTer-devel/Arcade-CaveBanpresto_MiSTer
Arcade-Cave_MiSTer	27	Cave,cave	CAVE	1994-2012	https://github.com/MiSTer-devel/Arcade-Cave_MiSTer
Arcade-Centipede_MiSTer	1	centipede	Atari	1980-1980	https://github.com/MiSTer-devel/Arcade-Centipede_MiSTer
Arcade-Chameleon_MiSTer	1	Chameleon	Jaleco	1983-1983	https://github.com/MiSTer-devel/Arcade-Chameleon_MiSTer
Arcade-ChinaGate_MiSTer	2	ChinaGate	Technos Japan (Taito / Romstar license)	1988-1988	https://github.com/MiSTer-devel/Arcade-ChinaGate_MiSTer
Arcade-CityConnection_MiSTer	3	CityConnection	Jaleco	1985-1985	https://github.com/MiSTer-devel/Arcade-CityConnection_MiSTer
Arcade-ComputerSpace_MiSTer	1	computerspace	Syzygy Engineering	1971-1971	https://github.com/MiSTer-devel/Arcade-ComputerSpace_MiSTer
Arcade-CongoBongo_MiSTer	2	CongoBongo	Sega/Gremlin	1983-1983	https://github.com/MiSTer-devel/Arcade-CongoBongo_MiSTer
Arcade-CosmicGuerilla_MiSTer	1	CosmicGuerilla	Universal	1981-1981	https://github.com/MiSTer-devel/Arcade-CosmicGuerilla_MiSTer
Arcade-Cosmic_MiSTer	5	cosmic	Universal	1981-1981	https://github.com/MiSTer-devel/Arcade-Cosmic_MiSTer
Arcade-CrazyBalloon_MiSTer	1	crazyballoon	Taito	1980-1980	https://github.com/MiSTer-devel/Arcade-CrazyBalloon_MiSTer
Arcade-CrazyClimber_MiSTer	1	crazyclimber	Nichibutsu	1980-1980	https://github.com/MiSTer-devel/Arcade-CrazyClimber_MiSTer
Arcade-CrazyKong_MiSTer	2	crazykong	Falcon	1981-1981	https://github.com/MiSTer-devel/Arcade-CrazyKong_MiSTer
Arcade-CrystalCastles_MiSTer	1	CrystalCastles	Atari	1983-1983	https://github.com/MiSTer-devel/Arcade-CrystalCastles_MiSTer
Arcade-DECOCassette_MiSTer	55	DECOCassette	Data East	1980-2022	https://github.com/MiSTer-devel/Arcade-DECOCassette_MiSTer
Arcade-Darius2NinjaWarriors_MiSTer	5	Darius2NinjaWarriors	Taito Corporation	1987-1989	https://github.com/MiSTer-devel/Arcade-Darius2NinjaWarriors_MiSTer
Arcade-Darius2WarriorBlade_MiSTer	4	Darius2WarriorBlade	Taito Corporation	1989-1991	https://github.com/MiSTer-devel/Arcade-Darius2WarriorBlade_MiSTer
Arcade-Darius_MiSTer	5	Darius	Taito Corporation	1986-1987	https://github.com/MiSTer-devel/Arcade-Darius_MiSTer
Arcade-Dcon_MiSTer	1	DCon	Success	1992-1992	https://github.com/MiSTer-devel/Arcade-Dcon_MiSTer
Arcade-Deco16_Mister	3	Deco16	Data East Corporation	1989-1991	https://github.com/MiSTer-devel/Arcade-Deco16_Mister
Arcade-Defender_MiSTer	4	defender	Taito	1980-1982	https://github.com/MiSTer-devel/Arcade-Defender_MiSTer
Arcade-DigDug_MiSTer	1	digdug	Namco	1982-1982	https://github.com/MiSTer-devel/Arcade-DigDug_MiSTer
Arcade-Dominos_MiSTer	1	dominos	Atari	1977-1977	https://github.com/MiSTer-devel/Arcade-Dominos_MiSTer
Arcade-DonkeyKong3_MiSTer	1	donkeykong3	Nintendo	1983-1983	https://github.com/MiSTer-devel/Arcade-DonkeyKong3_MiSTer
Arcade-DonkeyKongJunior_MiSTer	1	donkeykongjunior	Nintendo	1982-1982	https://github.com/MiSTer-devel/Arcade-DonkeyKongJunior_MiSTer
Arcade-DonkeyKong_MiSTer	3	DonkeyKong,donkeykong	Nintendo	1980-1982	https://github.com/MiSTer-devel/Arcade-DonkeyKong_MiSTer
Arcade-DottoriKun_MiSTer	1	DottoriKun	Sega	1990-1990	https://github.com/MiSTer-devel/Arcade-DottoriKun_MiSTer
Arcade-Druaga_MiSTer	7	druaga	Namco	1982-1985	https://github.com/MiSTer-devel/Arcade-Druaga_MiSTer
Arcade-Exerion_MiSTer	1	exerion	Jaleco	1983-1983	https://github.com/MiSTer-devel/Arcade-Exerion_MiSTer
Arcade-Exidy2_MiSTer	6	Exidy2	Exidy	1980-1981	https://github.com/MiSTer-devel/Arcade-Exidy2_MiSTer
Arcade-ExpressRaider_MiSTer	2	expressraider	Data East USA	1986-1986	https://github.com/MiSTer-devel/Arcade-ExpressRaider_MiSTer
Arcade-Finalizer_MiSTer	1	Finalizer	Konami	1985-1985	https://github.com/MiSTer-devel/Arcade-Finalizer_MiSTer
Arcade-FoodFight_MiSTer	1	foodfight	General Computer Corporation	1982-1982	https://github.com/MiSTer-devel/Arcade-FoodFight_MiSTer
Arcade-Freeze_MiSTer	5	freeze	Cinematronics	1982-1984	https://github.com/MiSTer-devel/Arcade-Freeze_MiSTer
Arcade-Frenzy_MiSTer	1	frenzy	Stern	1981-1981	https://github.com/MiSTer-devel/Arcade-Frenzy_MiSTer
Arcade-Galaga_MiSTer	1	galaga	Namco	1981-1981	https://github.com/MiSTer-devel/Arcade-Galaga_MiSTer
Arcade-Galaxian_MiSTer	18	galaxian	Namco	1979-2004	https://github.com/MiSTer-devel/Arcade-Galaxian_MiSTer
Arcade-Galivan_MiSTer	2	galivan	Nichibutsu	1985-1985	https://github.com/MiSTer-devel/Arcade-Galivan_MiSTer
Arcade-Gaplus_MiSTer	1	gaplus	Namco	1984-1984	https://github.com/MiSTer-devel/Arcade-Gaplus_MiSTer
Arcade-Gauntlet_MiSTer	28	gauntlet	Atari	1985-1985	https://github.com/MiSTer-devel/Arcade-Gauntlet_MiSTer
Arcade-GnG_MiSTer	2	gng	Capcom	1985-1985	https://github.com/MiSTer-devel/Arcade-GnG_MiSTer
Arcade-GulfWarII_MiSTer	2	GulfWarII	Comad	1991-1991	https://github.com/MiSTer-devel/Arcade-GulfWarII_MiSTer
Arcade-GundamSD_MiSTer	1	SDGundamPS	Banpresto / Bandai	1991-1991	https://github.com/MiSTer-devel/Arcade-GundamSD_MiSTer
Arcade-Gyruss_MiSTer	1	Gyruss	Konami	1983-1983	https://github.com/MiSTer-devel/Arcade-Gyruss_MiSTer
Arcade-HeatedBarrel_MiSTer	6	HeatedBarrel	TAD Corporation	1992-1992	https://github.com/MiSTer-devel/Arcade-HeatedBarrel_MiSTer
Arcade-IGSPGM_MiSTer	105	IGSPGM			https://github.com/MiSTer-devel/Arcade-IGSPGM_MiSTer
Arcade-IkariWarriors_MiSTer	4	IkariWarriors	SNK	1986-1986	https://github.com/MiSTer-devel/Arcade-IkariWarriors_MiSTer
Arcade-Inferno_MiSTer	1	inferno	Williams	1984-1984	https://github.com/MiSTer-devel/Arcade-Inferno_MiSTer
Arcade-IremM107_MiSTer	4	IremM107	Irem	1993-1994	https://github.com/MiSTer-devel/Arcade-IremM107_MiSTer
Arcade-IremM62_MiSTer	12	iremm62	Irem	1984-1986	https://github.com/MiSTer-devel/Arcade-IremM62_MiSTer
Arcade-IremM72_MiSTer	63	IremM72,irem_m72,m72	Irem	1987-1991	https://github.com/MiSTer-devel/Arcade-IremM72_MiSTer
Arcade-IremM90_MiSTer	9	IremM90	Irem	1991-1993	https://github.com/MiSTer-devel/Arcade-IremM90_MiSTer
Arcade-IremM92_MiSTer	29	IremM92	Irem	1991-1994	https://github.com/MiSTer-devel/Arcade-IremM92_MiSTer
Arcade-IronHorse_MiSTer	1	IronHorse	Konami	1986-1986	https://github.com/MiSTer-devel/Arcade-IronHorse_MiSTer
Arcade-Jackal_MiSTer	1	Jackal	Konami	1986-1986	https://github.com/MiSTer-devel/Arcade-Jackal_MiSTer
Arcade-Jailbreak_MiSTer	1	Jailbreak	Konami	1986-1986	https://github.com/MiSTer-devel/Arcade-Jailbreak_MiSTer
Arcade-Joust2_MiSTer	2	joust2	Williams	1986-1986	https://github.com/MiSTer-devel/Arcade-Joust2_MiSTer
Arcade-JunoFirst_MiSTer	2	JunoFirst	Konami (Gottlieb license)	1983-1983	https://github.com/MiSTer-devel/Arcade-JunoFirst_MiSTer
Arcade-Kangaroo_MiSTer	4	Kangaroo	Sun Electronics	1981-1982	https://github.com/MiSTer-devel/Arcade-Kangaroo_MiSTer
