alt_folder	mra_file	name	setname	parent	mameversion	rbf	year	manufacturer
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-21, Hong Kong).mra	Bishoujo Senshi Sailor Moon (Version 95/03/21, Hong Kong)	sailormnoh		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-21, Japan).mra	Bishoujo Senshi Sailor Moon (Version 95/03/21, Japan)	sailormnoj		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-21, Taiwan).mra	Bishoujo Senshi Sailor Moon (Version 95/03/21, Taiwan)	sailormnot		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-22, Hong Kong).mra	Bishoujo Senshi Sailor Moon (Version 95/03/22, Hong Kong)	sailormnnh		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-22, Japan).mra	Bishoujo Senshi Sailor Moon (Version 95/03/22, Japan)	sailormnnj		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-22, Taiwan).mra	Bishoujo Senshi Sailor Moon (Version 95/03/22, Taiwan)	sailormnnt		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-22B, Hong Kong).mra	Bishoujo Senshi Sailor Moon (Version 95/03/22B, Hong Kong)	sailormnh		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Bishoujo Senshi Sailor Moon (Version 95-03-22B, Taiwan).mra	Bishoujo Senshi Sailor Moon (Version 95/03/22B, Taiwan)	sailormnt		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-21, Europe).mra	Pretty Soldier Sailor Moon (Version 95/03/21, Europe)	sailormnoe		0289	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-21, Korea).mra	Pretty Soldier Sailor Moon (Version 95/03/21, Korea)	sailormnok		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-21, USA).mra	Pretty Soldier Sailor Moon (Version 95/03/21, USA)	sailormnou		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-22, Europe).mra	Pretty Soldier Sailor Moon (Version 95/03/22, Europe)	sailormnne		0289	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-22, Korea).mra	Pretty Soldier Sailor Moon (Version 95/03/22, Korea)	sailormnnk		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-22, USA).mra	Pretty Soldier Sailor Moon (Version 95/03/22, USA)	sailormnnu		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-22B, Europe).mra	Pretty Soldier Sailor Moon (Version 95/03/22B, Europe)	sailormne		0289	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-22B, Korea).mra	Pretty Soldier Sailor Moon (Version 95/03/22B, Korea)	sailormnk		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
Bishoujo Senshi Sailor Moon	Pretty Soldier Sailor Moon (Version 95-03-22B, USA).mra	Pretty Soldier Sailor Moon (Version 95/03/22B, USA)	sailormnu		0275	CaveBanpresto	1995	Gazelle (Banpresto license)
_ASO	Alpha Mission.mra	Alpha Mission	alphamis		0193	SNK_TripleZ80	1985	SNK
_ASO	Arian Mission.mra	Arian Mission	arian		0193	SNK_TripleZ80	1985	SNK
_Act Fancer	Act-Fancer (Japan rev 1).mra	Act-Fancer Cybernetick Hyper Weapon (Japan rev 1)	actfancrj		0264	ActFancer	1989	Data East Corporation
_Act Fancer	Act-Fancer (World rev 1).mra	Act-Fancer Cybernetick Hyper Weapon (World rev 1)	actfancr1		0264	ActFancer	1989	Data East Corporation
_Act Fancer	Act-Fancer (World rev 2).mra	Act-Fancer Cybernetick Hyper Weapon (World rev 2)	actfancr2		0264	ActFancer	1989	Data East Corporation
_Air Assault	Fire Barrel (Japan).mra	Fire Barrel (Japan)	firebarr	airass	0245	IremM107	1993	Irem
_Air Duel	Air Duel (Japan, M72 hardware).mra	Air Duel (Japan, M72 hardware)	airdueljm72	airduel	0248	IremM72	1990	Irem
_Air Gallet	Air Gallet (Hong Kong).mra	Air Gallet (Hong Kong)	agalleth		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (Korea).mra	Air Gallet (Korea)	agalletk		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (Taiwan).mra	Air Gallet (Taiwan)	agallett		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (USA).mra	Air Gallet (USA)	agalletu		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (older, Europe).mra	Air Gallet (older, Europe)	agalleta		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (older, Hong Kong).mra	Air Gallet (older, Hong Kong)	agalletah		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (older, Korea).mra	Air Gallet (older, Korea)	agalletak		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (older, Taiwan).mra	Air Gallet (older, Taiwan)	agalletat		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Air Gallet (older, USA).mra	Air Gallet (older, USA)	agalletau		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Akuu Gallet (Japan).mra	Akuu Gallet (Japan)	agalletj		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Air Gallet	Akuu Gallet (older, Japan).mra	Akuu Gallet (older, Japan)	agalletaj		0275	CaveBanpresto	1996	Gazelle (Banpresto license)
_Ali Baba and 40 Thieves	Mustafa and 40 Thieves (bootleg).mra	Mustafa and 40 Thieves	alibabab	alibaba	0218	pacman	1982	bootleg
_Amidar	Mandinga (Artemi bootleg of Amidar).mra	Mandinga	mandinga	amidar	0218	scramble	1982	Konami
_Arkanoid	Arkanoid (Game Corporation bootleg, set 1).mra	Arkanoid	arkangc	arkanoid	0218	arkanoid	1986	Taito
_Arkanoid	Arkanoid (Game Corporation bootleg, set 2).mra	Arkanoid	arkangc2	arkanoid	0218	arkanoid	1986	Taito
_Arkanoid	Arkanoid (JP).mra	Arkanoid	arkanoidj	arkanoid	0220	arkanoid	1986	Taito
_Arkanoid	Arkanoid (Tayto bootleg, harder).mra	Arkanoid	arktayt2	arkanoid	0218	arkanoid	1986	Taito
_Arkanoid	Arkanoid (Tayto) [bl].mra	Arkanoid	arkatayt	arkanoid	0220	arkanoid	1986	Taito
_Arkanoid	Arkanoid (US, Older).mra	Arkanoid	arkanoiduo	arkanoid	0220	arkanoid	1986	Taito
_Arkanoid	Arkanoid (Unl. Lives, slower) [hb].mra	Arkanoid	arkanoid	arkanoid	0220	arkanoid	1986	Taito
_Arkanoid	Arkanoid (Unl. lives) [hb].mra	Arkanoid	arkanoid	arkanoid	0220	arkanoid	1986	Taito
_Arkanoid	Arkanoid (US).mra	Arkanoid (US, older)	arkanoid	arkanoid	0220	arkanoid	1986	Taito
_Arkanoid	Block (Game Corporation bootleg, set 1).mra	Block	arkblock	arkanoid	0218	arkanoid	1986	Taito
_Arkanoid	Block (Game Corporation bootleg, set 2).mra	Block	arkbloc2	arkanoid	0218	arkanoid	1986	Taito
_Armored Car	Armored Car (set 2).mra	Armored Car	armorcar2	armorcar	0218	scramble	1981	Stern
_Asteroids	Aerolitos (Spanish bootleg of Asteroids).mra	Aerolitos	aerolitos	Asteroids	0218	asteroids	1980	Atari
_Asteroids	Asterock (Sidam bootleg of Asteroids).mra	Asterock	asterock	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Asterock (Videotron bootleg of Asteroids).mra	Asterock	asterockv	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Asteroids (Six-Bullet Hack) - HBMame.mra	Asteroids	asteroid6	Asteroids	0217	asteroids	1979	Atari
_Asteroids	Asteroids (rev 1).mra	Asteroids	asteroid1	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Asteroids (rev 2).mra	Asteroids	asteroid2	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Hyperspace (bootleg of Asteroids).mra	Hyperspace (bootleg of Asteroids)	hyperspc	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Meteor (bootleg of Asteroids).mra	Meteor	meteorho	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Meteorite (Proel bootleg of Asteroids).mra	Meteor	meteorite	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Meteorites (VGG bootleg of Asteroids).mra	Meteor	meteorts	Asteroids	0218	asteroids	1979	Atari
_Asteroids	Space Rocks (Spanish clone of Asteroids).mra	Space Rocks	spcrocks	Asteroids	0218	asteroids	1981	Atari
_Asteroids	Starslayer (hack of Asteroids (rev 2)) - HBMame.mra	Starslayer	starslayer	Asteroids	0217	asteroids	1979	Atari
_Asteroids Deluxe	Asteroids Deluxe (Unknown Revision) [h] - HBMame.mra	Asteroids Deluxe	astdelux4	astdelux	0217	asteroidsdeluxe	1980	Atari
_Asteroids Deluxe	Asteroids Deluxe (rev 1).mra	Asteroids Deluxe	astdelux1	astdelux	0218	asteroidsdeluxe	1980	Atari
_Asteroids Deluxe	Asteroids Deluxe (rev 2).mra	Asteroids Deluxe	astdelux2	astdelux	0218	asteroidsdeluxe	1980	Atari
_Athena	Athena_Screen_Flip_Fix_ROM_Patch.mra	Athena	athenaff		0193	Athena	1986	SNK
_Athena	Athena_bootleg.mra	Athena (bootleg)	athenab		0193	Athena	1986	SNK
_Athena	Super_Athena.mra	Super Athena (bootleg)	sathena		0193	Athena	1987	bootleg
_Bagman	Bagman (Stern Electronics, set 1).mra	Bagman	bagmans	bagman	0218	bagman	1982	Valadon Automation
_Bagman	Bagman (Stern Electronics, set 2).mra	Bagman	bagmans2	bagman	0218	bagman	1982	Valadon Automation
_Bagman	Bagman (Taito).mra	Bagman	bagmanj	bagman	0218	bagman	1982	Valadon Automation
_Bagman	Bagman Turbo (Stern set 1) [c] - HBMame.mra	Bagman Turbo	bagturbo	bagman	0217	bagman	1991	Valadon Automation
_Bagman	Le Bagnard (Itisa, Spain).mra	Le Bagnard	bagnardi	bagnard	0218	bagman	1982	Valadon Automation
_Bagman	Le Bagnard (set 1).mra	Le Bagnard	bagnard	bagnard	0218	bagman	1982	Valadon Automation
_Bagman	Le Bagnard (set 2).mra	Le Bagnard	bagnarda	bagnard	0218	bagman	1982	Valadon Automation
_Battle Zone	Battle Zone rev 1.mra	Battle Zone (rev 1)	bzonea		0226	BattleZone	1980	Atari
_Berzerk	Berzerk (French Speech, revision RC31).mra	Berzerk	berzerkf	berzerk	0218	berzerk	1980	Stern
_Berzerk	Berzerk (German Speech, revision RC32).mra	Berzerk	berzerkg	berzerk	0218	berzerk	1980	Stern
_Berzerk	Berzerk (Spanish Speech, revision RC32).mra	Berzerk	berzerks	berzerk	0218	berzerk	1980	Stern
_Berzerk	Berzerk (revision RC28).mra	Berzerk	berzerkb	berzerk	0218	berzerk	1980	Stern
_Berzerk	Berzerk (revision RC31).mra	Berzerk	berzerka	berzerk	0218	berzerk	1980	Stern
_Blade Master	Cross Blades! (Japan).mra	Cross Blades! (Japan)	crossbld	bmaster	0245	IremM92	1991	Irem
_Blood Bros	Blood Bros (Japan rev A).mra	Blood Bros (Japan rev A)	bloodbroj		0264	BloodBros	1990	TAD Corporation
_Blood Bros	Blood Bros (Japan).mra	Blood Bros (Japan)	bloodbroja		0264	BloodBros	1990	TAD Corporation
_Blood Bros	Blood Bros (Korea).mra	Blood Bros (Korea)	bloodbrok		0264	BloodBros	1990	TAD Corporation
_Blood Bros	Blood Bros (US).mra	Blood Bros (US)	bloodbrou		0264	BloodBros	1990	TAD Corporation (Fabtek license)
_Blue Print	Blue Print (Japan).mra		blueprntj	blueprnt	0220	BluePrint	1982	Zilec Electronics / Bally Midway
_Bomb Jack	Bomb Jack (Bootleg) - HBMame.mra	Bomb Jack	bombjckb	bombjack	0217	bombjack	1984	Tehkan
_Bomb Jack	Bomb Jack (Greek) - HBMame.mra	Bomb Jack	bmbjckgr	bombjack	0217	bombjack	1984	Tehkan
_Bomb Jack	Bomb Jack (Red) - HBMame.mra	Bomb Jack	bombjred	bombjack	0217	bombjack	2008	Tehkan
_Bomb Jack	Bomb Jack (Translation Chinese) - HBMame.mra	Bomb Jack	bombjacks01	bombjack	0217	bombjack	1984	Tehkan
_Bomb Jack	Bomb Jack (set 2).mra	Bomb Jack	bombjack2	bombjack	0218	bombjack	1984	Tehkan
_Bomber Man	Atomic Punk (US).mra	Atomic Punk (US)	atompunk	dynablst	0245	IremM90	1991	Irem
_Bomber Man	Bomber Man (Japan).mra	Bomber Man (Japan)	bombrman	dynablst	0245	IremM90	1991	Irem
_Bomber Man World	Bomber Man World (Japan).mra	Bomber Man World (Japan)	bbmanwj		0245	IremM90	1992	Irem
_Bomber Man World	Bomber Man World (Japan, revised sound hardware).mra	Bomber Man World (Japan, revised sound hardware)	bbmanwja		0245	IremM90	1992	Irem
_Bomber Man World	New Atomic Punk - Global Quest (US).mra	New Atomic Punk - Global Quest (US)	newapunk	bbmanw	0245	IremM90	1992	Irem
_Boogie Wings	Boogie Wings (Asia v1.5, 92.12.07).mra	Boogie Wings (Asia v1.5, 92.12.07)	boogwinga		0264	BoogieWings	1992	Data East Corporation
_Boogie Wings	Boogie Wings (USA v1.7, 92.12.14).mra	Boogie Wings (USA v1.7, 92.12.14)	boogwingu		0264	BoogieWings	1992	Data East Corporation
_Boogie Wings	The Great Ragtime Show (Japan v1.3, 92.11.26).mra	The Great Ragtime Show (Japan v1.3, 92.11.26)	ragtimea		0264	BoogieWings	1992	Data East Corporation
_Boogie Wings	The Great Ragtime Show (Japan v1.5, 92.12.07).mra	The Great Ragtime Show (Japan v1.5, 92.12.07)	ragtime		0264	BoogieWings	1992	Data East Corporation
_Bosconian	Bosconian - Star Destroyer (Midway, new version).mra	Bosconian - Star Destroyer	boscomd	bosco	0220	bosconian	1981	Namco
_Botanic	Botanic (French).mra	Botanic	botanicf	botanic	0218	bagman	1984	Itisa
_Bubbles	Bubbles (Solid Red label).mra	Bubbles	bubblesr	bubbles	0218	robotron	1982	Williams
_Bubbles	Bubbles (prototype version).mra	Bubbles	bubblesp	bubbles	0218	robotron	1982	Williams
_Burger Time	Burger Time (Data East set 2).mra	Burger Time	btime2	btime	0220	burgertime	1982	Data East
_Burning Rubber	Bump 'n' Jump (Midway).mra	Bump 'n' Jump	bnjm	bnj	0218	burningrubber	1982	Data East
_Burning Rubber	Bump 'n' Jump Reverse Mod - HBMame.mra	Bump 'n' Jump	bnjr	bnj	0217	burningrubber	2002	Data East
_Burning Rubber	Bump 'n' Jump.mra	Bump 'n' Jump	bnj	bnj	0218	burningrubber	1982	Data East
_Burning Rubber	Car Action (set 1).mra	Car Action	caractn		0218	burningrubber	1982	bootleg
_Burning Rubber	Car Action (set 2).mra	Car Action	caractn2	caractn	0218	burningrubber	1982	bootleg
_Cameltry	Cameltry (Japan, YM2610).mra	Cameltry (Japan, YM2610)	cameltryj	cameltry	277	TaitoF2	1989	Taito Corporation
_Cameltry	Cameltry (US, YM2610).mra	Cameltry (US, YM2610)	cameltryu	cameltry	277	TaitoF2	1989	Taito America Corporation
_Centipede	Astropede - HBMame.mra	Astropede	astroped	centiped	0217	centipede	2002	Atari
_Centipede	Astropede II - HBMame.mra	Astropede II	astropd2	centiped	0217	centipede	2002	Atari
_Centipede	Cemescary - HBMame.mra	Cemescary	cemescry	centiped	0218	centipede	1998	Atari
_Centipede	Centipede (revision 1).mra	Centipede	centiped1	centiped	0218	centipede	1980	Atari
_Centipede	Centipede (revision 2).mra	Centipede	centiped2	centiped	0218	centipede	1980	Atari
_Centipede	Centipede (revision 3).mra	Centipede	centiped3	centiped	0218	centipede	1980	Atari
_Centipede	Centipede Dux (hack).mra	Centipede Dux	centipdd	centiped	0220	centipede	1989	Atari
_Centipede	Killipede - HBMame.mra	Killipede	killiped	centiped	0217	centipede	1998	Atari
_Centipede	Pacipede - HBMame.mra	Pacipede	pacipede	centiped	0217	centipede	2000	Namco
_Centipede	Vectipede - HBMame.mra	Vectipede	vectiped	centiped	0217	centipede	1998	Atari
_Centipede	Vectorpede - HBMame.mra	Vectorpede	vectrped	centiped	0217	centipede	1998	Atari
_China Gate	China Gate - Sai Yu Gou Ma Roku (JP).mra	Sai Yu Gou Ma Roku (JP)	saiyugou		0264	ChinaGate	1988	Technos Japan
_City Connection	City Connection (Cruisin).mra	City Connection (Cruisin)	cruisin		0264	CityConnection	1985	Jaleco (Kitkorp license)
_City Connection	City Connection (set 2).mra	City Connection (set 2)	citycona		0264	CityConnection	1985	Jaleco
_Colony 7	Colony 7 (set 2).mra	Colony 7	colony7a	colony7	0218	defender	1981	Taito
_Crazy Climber	Crazy Climber (US set 2).mra	Crazy Climber	cclimbera	cclimber	0218	crazyclimber	1980	Nichibutsu
_Crazy Kong	Big Kong.mra	Big Kong	bigkong	ckong	0224	crazykong	1981	Falcon
_Crazy Kong	Crazy Kong (Orca Bootleg) [bl].mra	Crazy Kong	ckongo	ckong	0223	crazykong	1981	Falcon
_Crazy Kong	Crazy Kong (Orca bootleg).mra	Crazy Kong (Orca bootleg)	ckongo		0224	CrazyKong	1981	bootleg (Orca)
_Crazy Kong	Crazy Kong Part II (Graphic Fix) - HBMame.mra	Crazy Kong Part II	ckongfix	ckong	0217	crazykong	1981	Falcon
_Crazy Kong	Crazy Kong Part II (Japan).mra	Crazy Kong Part II	ckongpt2j	ckongpt2	0218	crazykong	1981	Falcon
_Crazy Kong	Crazy Kong Part II (Jeutel bootleg).mra	Crazy Kong Part II	ckongpt2jeu	ckongpt2	0218	crazykong	1981	Falcon
